5.1895 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
84.4829 	EXP 	grating: autoDraw = True
84.7829 	EXP 	grating: autoDraw = False
84.9683 	EXP 	New trial (rep=39, index=0): None
84.9701 	DATA 	Keypress: down
84.9830 	EXP 	fixation: autoDraw = False
84.9830 	EXP 	grating: autoDraw = False
84.9830 	EXP 	grating: ori = -5.0
84.9830 	EXP 	fixation: autoDraw = True
85.9833 	EXP 	fixation: autoDraw = False
85.9833 	EXP 	grating: autoDraw = True
86.2834 	EXP 	grating: autoDraw = False
86.4853 	EXP 	New trial (rep=40, index=0): None
86.4867 	DATA 	Keypress: down
86.5003 	EXP 	fixation: autoDraw = False
86.5003 	EXP 	grating: autoDraw = False
86.5003 	EXP 	grating: ori = 0.0
86.5003 	EXP 	fixation: autoDraw = True
87.5007 	EXP 	fixation: autoDraw = False
87.5007 	EXP 	grating: autoDraw = True
87.8005 	EXP 	grating: autoDraw = False
88.1358 	EXP 	New trial (rep=41, index=0): None
88.1371 	DATA 	Keypress: up
88.1506 	EXP 	fixation: autoDraw = False
88.1506 	EXP 	grating: autoDraw = False
88.1506 	EXP 	grating: ori = 0.0
88.1506 	EXP 	fixation: autoDraw = True
89.1347 	EXP 	grating: autoDraw = True
89.1514 	EXP 	fixation: autoDraw = False
89.4346 	EXP 	grating: autoDraw = False
89.8040 	EXP 	New trial (rep=42, index=0): None
89.8056 	DATA 	Keypress: up
89.8182 	EXP 	fixation: autoDraw = False
89.8182 	EXP 	grating: autoDraw = False
89.8182 	EXP 	grating: ori = 0.0
89.8182 	EXP 	fixation: autoDraw = True
90.8188 	EXP 	fixation: autoDraw = False
90.8188 	EXP 	grating: autoDraw = True
91.1186 	EXP 	grating: autoDraw = False
91.2560 	EXP 	New trial (rep=43, index=0): None
91.2583 	DATA 	Keypress: up
91.2687 	EXP 	fixation: autoDraw = False
91.2687 	EXP 	grating: autoDraw = False
91.2687 	EXP 	grating: ori = 0.0
91.2687 	EXP 	fixation: autoDraw = True
